timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1661285787761,2244,Checkout,200,OK,Thread Group 1-26,text,true,,277,208,50,50,http://localhost:6060/checkout,2244,0,0
1661285786852,3162,Login,200,OK,Thread Group 1-39,text,true,,291,205,50,50,http://localhost:6060/login,3162,0,0
1661285787341,2703,Checkout,200,OK,Thread Group 1-30,text,true,,277,208,50,50,http://localhost:6060/checkout,2703,0,0
1661285788861,1207,Home page,200,OK,Thread Group 1-19,text,true,,239,116,50,50,http://localhost:6060/,1207,0,1
1661285788477,1627,Checkout,200,OK,Thread Group 1-10,text,true,,277,208,50,50,http://localhost:6060/checkout,1627,0,0
1661285789371,887,Home page,200,OK,Thread Group 1-38,text,true,,239,116,50,50,http://localhost:6060/,887,0,1
1661285788760,1507,Login,200,OK,Thread Group 1-5,text,true,,291,205,50,50,http://localhost:6060/login,1507,0,0
1661285786615,3744,Checkout,200,OK,Thread Group 1-9,text,true,,277,208,50,50,http://localhost:6060/checkout,3744,0,0
1661285788741,1645,Search items,200,OK,Thread Group 1-7,text,true,,293,206,50,50,http://localhost:6060/search,1645,0,0
1661285787330,3194,Checkout,200,OK,Thread Group 1-25,text,true,,277,208,50,50,http://localhost:6060/checkout,3194,0,0
1661285788827,1708,Checkout,200,OK,Thread Group 1-40,text,true,,277,208,50,50,http://localhost:6060/checkout,1708,0,0
1661285788126,2466,Search items,200,OK,Thread Group 1-45,text,true,,293,206,50,50,http://localhost:6060/search,2466,0,0
1661285789149,1458,Home page,200,OK,Thread Group 1-33,text,true,,239,116,50,50,http://localhost:6060/,1458,0,1
1661285789282,1361,Home page,200,OK,Thread Group 1-34,text,true,,239,116,50,50,http://localhost:6060/,1361,0,1
1661285788162,2491,Checkout,200,OK,Thread Group 1-41,text,true,,277,208,50,50,http://localhost:6060/checkout,2491,0,0
1661285788996,1657,Login,200,OK,Thread Group 1-21,text,true,,291,205,50,50,http://localhost:6060/login,1657,0,0
1661285788850,1845,Checkout,200,OK,Thread Group 1-47,text,true,,277,208,50,50,http://localhost:6060/checkout,1845,0,0
1661285789785,1030,Home page,200,OK,Thread Group 1-32,text,true,,239,116,50,50,http://localhost:6060/,1030,0,0
1661285789449,1399,Add item to cart,200,OK,Thread Group 1-22,text,true,,282,209,50,50,http://localhost:6060/cart/item,1399,0,0
1661285789587,1306,Home page,200,OK,Thread Group 1-20,text,true,,239,116,50,50,http://localhost:6060/,1306,0,1
1661285788078,2820,Checkout,200,OK,Thread Group 1-11,text,true,,277,208,50,50,http://localhost:6060/checkout,2820,0,0
1661285789257,1726,Search items,200,OK,Thread Group 1-12,text,true,,293,206,50,50,http://localhost:6060/search,1726,0,0
1661285790003,1025,Home page,200,OK,Thread Group 1-50,text,true,,239,116,50,50,http://localhost:6060/,1025,0,1
1661285790104,951,Home page,200,OK,Thread Group 1-10,text,true,,239,116,50,50,http://localhost:6060/,951,0,1
1661285790005,1060,Home page,200,OK,Thread Group 1-26,text,true,,239,116,50,50,http://localhost:6060/,1060,0,0
1661285788953,2154,Login,200,OK,Thread Group 1-18,text,true,,291,205,50,50,http://localhost:6060/login,2154,0,0
1661285789857,1267,Search items,200,OK,Thread Group 1-17,text,true,,293,206,50,50,http://localhost:6060/search,1267,0,0
1661285789257,1988,Checkout,200,OK,Thread Group 1-4,text,true,,277,208,50,50,http://localhost:6060/checkout,1988,0,0
1661285790696,601,Home page,200,OK,Thread Group 1-47,text,true,,239,116,50,50,http://localhost:6060/,601,0,0
1661285790044,1274,Home page,200,OK,Thread Group 1-30,text,true,,239,116,50,50,http://localhost:6060/,1274,0,1
1661285787176,4143,Checkout,200,OK,Thread Group 1-35,text,true,,277,208,50,50,http://localhost:6060/checkout,4143,0,0
1661285790360,992,Home page,200,OK,Thread Group 1-9,text,true,,239,116,50,50,http://localhost:6060/,992,0,0
